PERMNO,date,TICKER,COMNAM,CUSIP,FACPR,PRC,CFACPR
14593,19900102,AAPL,APPLE COMPUTER INC,3783310,,37.25,28
14593,19900103,AAPL,APPLE COMPUTER INC,3783310,,37.5,28
14593,19900104,AAPL,APPLE COMPUTER INC,3783310,,37.625,28
14593,19900105,AAPL,APPLE COMPUTER INC,3783310,,37.75,28
14593,19900108,AAPL,APPLE COMPUTER INC,3783310,,38,28
14593,19900109,AAPL,APPLE COMPUTER INC,3783310,,37.625,28
14593,19900110,AAPL,APPLE COMPUTER INC,3783310,,36,28
14593,19900111,AAPL,APPLE COMPUTER INC,3783310,,34.5,28
14593,19900112,AAPL,APPLE COMPUTER INC,3783310,,34.5,28
14593,19900115,AAPL,APPLE COMPUTER INC,3783310,,34.25,28
14593,19900116,AAPL,APPLE COMPUTER INC,3783310,,34.875,28
14593,19900117,AAPL,APPLE COMPUTER INC,3783310,,33.25,28
14593,19900118,AAPL,APPLE COMPUTER INC,3783310,,32.375,28
14593,19900119,AAPL,APPLE COMPUTER INC,3783310,,34.25,28
14593,19900122,AAPL,APPLE COMPUTER INC,3783310,,33.25,28
14593,19900123,AAPL,APPLE COMPUTER INC,3783310,,33.75,28
14593,19900124,AAPL,APPLE COMPUTER INC,3783310,,34,28
14593,19900125,AAPL,APPLE COMPUTER INC,3783310,,34.125,28
14593,19900126,AAPL,APPLE COMPUTER INC,3783310,,32.75,28
14593,19900129,AAPL,APPLE COMPUTER INC,3783310,,33.25,28
14593,19900130,AAPL,APPLE COMPUTER INC,3783310,,34,28
14593,19900131,AAPL,APPLE COMPUTER INC,3783310,,34,28
14593,19900201,AAPL,APPLE COMPUTER INC,3783310,,33.625,28
14593,19900202,AAPL,APPLE COMPUTER INC,3783310,,34.25,28
14593,19900205,AAPL,APPLE COMPUTER INC,3783310,,35,28
14593,19900206,AAPL,APPLE COMPUTER INC,3783310,,34.75,28
14593,19900207,AAPL,APPLE COMPUTER INC,3783310,,33.25,28
14593,19900208,AAPL,APPLE COMPUTER INC,3783310,,33,28
14593,19900209,AAPL,APPLE COMPUTER INC,3783310,,34.25,28
14593,19900212,AAPL,APPLE COMPUTER INC,3783310,,34,28
14593,19900213,AAPL,APPLE COMPUTER INC,3783310,,34.5,28
14593,19900214,AAPL,APPLE COMPUTER INC,3783310,,34.25,28
14593,19900215,AAPL,APPLE COMPUTER INC,3783310,,34.25,28
14593,19900216,AAPL,APPLE COMPUTER INC,3783310,0,33.75,28
14593,19900220,AAPL,APPLE COMPUTER INC,3783310,,33.5,28
14593,19900221,AAPL,APPLE COMPUTER INC,3783310,,34,28
14593,19900222,AAPL,APPLE COMPUTER INC,3783310,,33,28
14593,19900223,AAPL,APPLE COMPUTER INC,3783310,,33.25,28
14593,19900226,AAPL,APPLE COMPUTER INC,3783310,,34,28
14593,19900227,AAPL,APPLE COMPUTER INC,3783310,,33.5,28
14593,19900228,AAPL,APPLE COMPUTER INC,3783310,,34,28
14593,19900301,AAPL,APPLE COMPUTER INC,3783310,,34.25,28
14593,19900302,AAPL,APPLE COMPUTER INC,3783310,,33.75,28
14593,19900305,AAPL,APPLE COMPUTER INC,3783310,,34.5,28
14593,19900306,AAPL,APPLE COMPUTER INC,3783310,,35.25,28
14593,19900307,AAPL,APPLE COMPUTER INC,3783310,,35.375,28
14593,19900308,AAPL,APPLE COMPUTER INC,3783310,,36.75,28
14593,19900309,AAPL,APPLE COMPUTER INC,3783310,,36.875,28
14593,19900312,AAPL,APPLE COMPUTER INC,3783310,,36.625,28
14593,19900313,AAPL,APPLE COMPUTER INC,3783310,,36.875,28
14593,19900314,AAPL,APPLE COMPUTER INC,3783310,,36.75,28
14593,19900315,AAPL,APPLE COMPUTER INC,3783310,,36.75,28
